Date,Store,Predicted_revenue,Lower_95,Upper_95
2023-07-14,Hell's Kitchen,5412.364246900028,4513.995957881876,6310.73253591818
2023-07-15,Hell's Kitchen,5521.905570779902,4623.53728176175,6420.273859798053
2023-07-16,Hell's Kitchen,5576.329659656747,4677.961370638595,6474.697948674899
2023-07-17,Hell's Kitchen,5594.269063095259,4695.900774077107,6492.637352113412
2023-07-18,Hell's Kitchen,5479.383650857885,4581.015361839733,6377.751939876038
2023-07-19,Hell's Kitchen,5475.5012249770025,4577.132935958851,6373.869513995154
2023-07-20,Hell's Kitchen,5436.013509910607,4537.645220892455,6334.38179892876
2023-07-21,Hell's Kitchen,5439.827442701612,4541.45915368346,6338.195731719765
2023-07-22,Hell's Kitchen,5530.904356197844,4632.536067179692,6429.272645215997
2023-07-23,Hell's Kitchen,5516.62785528879,4618.259566270637,6414.996144306942
2023-07-24,Hell's Kitchen,5503.948189322554,4605.579900304401,6402.316478340706
2023-07-25,Hell's Kitchen,5378.662559112223,4480.294270094071,6277.030848130375
2023-07-26,Hell's Kitchen,5390.434510571872,4492.0662215537195,6288.802799590025
2023-07-27,Hell's Kitchen,5445.215496580571,4546.8472075624195,6343.583785598723
2023-07-28,Hell's Kitchen,5224.734189585531,4326.365900567378,6123.102478603683
2023-07-29,Hell's Kitchen,5324.710577793561,4426.3422887754095,6223.078866811713
2023-07-30,Hell's Kitchen,5473.635643820521,4575.267354802369,6372.003932838674
2023-07-01,Astoria,5552.586357033186,4654.218068015034,6450.9546460513375
2023-07-02,Astoria,5546.939191584491,4648.570902566338,6445.307480602643
2023-07-03,Astoria,5577.685679862707,4679.317390844555,6476.0539688808585
2023-07-04,Astoria,5441.2802935855,4542.912004567348,6339.648582603651
2023-07-05,Astoria,5437.397867704617,4539.029578686464,6335.76615672277
2023-07-06,Astoria,5434.318518818118,4535.950229799966,6332.6868078362695
2023-07-07,Astoria,5473.704864643724,4575.336575625572,6372.073153661877
2023-07-08,Astoria,5710.480896817738,4812.112607799585,6608.84918583589
2023-07-09,Astoria,5576.869797997172,4678.5015089790195,6475.238087015325
2023-07-10,Astoria,5530.792277066438,4632.4239880482855,6429.160566084591
2023-07-11,Astoria,5387.933150979883,4489.564861961731,6286.301439998035
2023-07-12,Astoria,5342.964963743097,4444.596674724944,6241.333252761249
2023-07-13,Astoria,5412.364246900028,4513.995957881876,6310.73253591818
2023-07-14,Astoria,5412.364246900028,4513.995957881876,6310.73253591818
2023-07-15,Astoria,5521.905570779902,4623.53728176175,6420.273859798053
2023-07-16,Astoria,5576.329659656747,4677.961370638595,6474.697948674899
2023-07-17,Astoria,5594.269063095259,4695.900774077107,6492.637352113412
2023-07-18,Astoria,5479.383650857885,4581.015361839733,6377.751939876038
2023-07-19,Astoria,5475.5012249770025,4577.132935958851,6373.869513995154
2023-07-20,Astoria,5436.013509910607,4537.645220892455,6334.38179892876
2023-07-21,Astoria,5439.827442701612,4541.45915368346,6338.195731719765
2023-07-22,Astoria,5530.904356197844,4632.536067179692,6429.272645215997
2023-07-23,Astoria,5516.62785528879,4618.259566270637,6414.996144306942
2023-07-24,Astoria,5503.948189322554,4605.579900304401,6402.316478340706
2023-07-25,Astoria,5378.662559112223,4480.294270094071,6277.030848130375
2023-07-26,Astoria,5390.434510571872,4492.0662215537195,6288.802799590025
2023-07-27,Astoria,5445.215496580571,4546.8472075624195,6343.583785598723
2023-07-28,Astoria,5224.734189585531,4326.365900567378,6123.102478603683
2023-07-29,Astoria,5347.1136015114425,4448.745312493291,6245.481890529594
2023-07-30,Astoria,5473.635643820521,4575.267354802369,6372.003932838674
